WeekDate;Count
11.09.2016;0.2409
18.09.2016;0.2089
25.09.2016;0.2099
02.10.2016;0.205
09.10.2016;0.2225
16.10.2016;0.2128
23.10.2016;0.2225
30.10.2016;0.2817
06.11.2016;0.2943
13.11.2016;0.3176
20.11.2016;0.2594
27.11.2016;0.303
04.12.2016;0.3273
11.12.2016;0.3263
18.12.2016;0.602
25.12.2016;0.596
01.01.2017;0.5904
08.01.2017;0.4331
15.01.2017;0.3564
22.01.2017;0.4215
29.01.2017;0.438
05.02.2017;0.4865
12.02.2017;0.4098
19.02.2017;0.4176
26.02.2017;0.4603
05.03.2017;0.372
12.03.2017;0.4506
19.03.2017;0.3409
26.03.2017;0.3652
02.04.2017;0.2603
09.04.2017;0.3186
16.04.2017;0.3263
23.04.2017;0.2351
30.04.2017;0.2846
07.05.2017;0.2254
14.05.2017;0.2273
21.05.2017;0.2895
28.05.2017;0.3001
04.06.2017;0.2487
11.06.2017;0.1895
18.06.2017;0.1739
25.06.2017;0.1788
02.07.2017;0.1497
09.07.2017;0.1846
16.07.2017;0.1206
23.07.2017;0.1875
30.07.2017;0.14
06.08.2017;0.1322
13.08.2017;0.2108
20.08.2017;0.1943
27.08.2017;0.1972
03.09.2017;0.237
10.09.2017;0.2293
17.09.2017;0.1943
24.09.2017;0.2264
01.10.2017;0.303
08.10.2017;0.2953
15.10.2017;0.1982
22.10.2017;0.206
29.10.2017;0.2108
05.11.2017;0.2002
12.11.2017;0.273
19.11.2017;0.2817
26.11.2017;0.3341
03.12.2017;0.2565
10.12.2017;0.3001
17.12.2017;0.3545
24.12.2017;0.7593
31.12.2017;0.6321
07.01.2018;0.4884
14.01.2018;0.4331
21.01.2018;0.403
28.01.2018;0.3584
04.02.2018;0.3273
11.02.2018;0.3458
18.02.2018;0.338
25.02.2018;0.3448
04.03.2018;0.3477
11.03.2018;0.2953
18.03.2018;0.3933
25.03.2018;0.3681
01.04.2018;0.303
08.04.2018;0.2545
15.04.2018;0.2128
22.04.2018;0.237
29.04.2018;0.2409
06.05.2018;0.2681
13.05.2018;0.1769
20.05.2018;0.1555
27.05.2018;0.2535
03.06.2018;0.1769
10.06.2018;0.1817
17.06.2018;0.1604
24.06.2018;0.1672
01.07.2018;0.1827
08.07.2018;0.1943
15.07.2018;0.1672
22.07.2018;0.1439
29.07.2018;0.1749
05.08.2018;0.1264
12.08.2018;0.1565
19.08.2018;0.1429
26.08.2018;0.1322
02.09.2018;0.2079
09.09.2018;0.1584
16.09.2018;0.1943
23.09.2018;0.1846
30.09.2018;0.1749
07.10.2018;0.1856
14.10.2018;0.1555
21.10.2018;0.2565
28.10.2018;0.2497
04.11.2018;0.2011
11.11.2018;0.2778
18.11.2018;0.2099
25.11.2018;0.3079
02.12.2018;0.2574
09.12.2018;0.2574
16.12.2018;0.2846
23.12.2018;0.5506
30.12.2018;0.4292
06.01.2019;0.3953
13.01.2019;0.3215
20.01.2019;0.3972
27.01.2019;0.3962
03.02.2019;0.3933
10.02.2019;0.3885
17.02.2019;0.4778
24.02.2019;0.3972
03.03.2019;0.4137
10.03.2019;0.4719
17.03.2019;0.3972
24.03.2019;0.4564
31.03.2019;0.4283
07.04.2019;0.3147
14.04.2019;0.338
21.04.2019;0.2788
28.04.2019;0.3098
05.05.2019;0.3118
12.05.2019;0.3176
19.05.2019;0.306
26.05.2019;0.3302
02.06.2019;0.3118
09.06.2019;0.239
16.06.2019;0.2157
23.06.2019;0.1691
30.06.2019;0.2021
07.07.2019;0.2254
14.07.2019;0.1846
21.07.2019;0.1885
28.07.2019;0.1943
04.08.2019;0.1613
11.08.2019;0.1691
18.08.2019;0.1623
25.08.2019;0.1807
01.09.2019;0.2467
08.09.2019;0.2031
15.09.2019;0.1846
22.09.2019;0.2225
29.09.2019;0.2147
06.10.2019;0.2817
13.10.2019;0.2526
20.10.2019;0.2642
27.10.2019;0.3118
03.11.2019;0.3477
10.11.2019;0.3807
17.11.2019;0.3166
24.11.2019;0.4787
01.12.2019;0.3438
08.12.2019;0.3778
15.12.2019;0.4719
22.12.2019;0.967
29.12.2019;0.9971
05.01.2020;0.6059
12.01.2020;0.5583
19.01.2020;0.6729
26.01.2020;0.5477
02.02.2020;0.5554
09.02.2020;0.603
16.02.2020;0.6146
23.02.2020;0.6205
